name,lat,lon,state,in_margin,in_basin
830001fffffffff,66.02784617413081,44.96859487989606,1,False,False
830003fffffffff,66.47833959325565,47.36979327698465,1,False,False
830018fffffffff,67.9560432593859,50.16990856194808,1,False,False
83001afffffffff,68.33574948774286,52.933458478130405,1,False,False
83001cfffffffff,66.89469118596185,49.88128646109902,1,False,False
83001efffffffff,67.27334541922234,52.50054072198061,1,False,False
830020fffffffff,62.95722197422991,44.88876894475424,1,False,False
830028fffffffff,65.0383983679884,40.498678186325385,1,False,False
830029fffffffff,65.52343330008819,38.15715736169174,1,False,False
83002afffffffff,65.54672561718685,42.67846190359477,1,False,False
83002cfffffffff,64.02143041844597,40.66348846485257,1,False,False
83002dfffffffff,64.50614962088649,38.42731805187481,1,False,False
83004dfffffffff,61.61419533773885,38.05833803107771,1,False,False
830068fffffffff,59.57532418678518,39.17604295214775,1,False,False
830069fffffffff,59.91076334043158,37.14091067104207,1,False,False
83006bfffffffff,60.59092069370367,38.63757530502522,1,False,False
83006dfffffffff,58.91218456352616,37.716249715815145,1,False,False
8300a9fffffffff,68.67086705788694,55.80959461020304,1,False,False
8300f4fffffffff,69.40890629488605,53.41438974921621,1,False,False
8300f6fffffffff,69.74034722984194,56.46193113282645,1,False,False
830118fffffffff,60.80267673732804,48.61054524445918,1,False,False
830120fffffffff,56.3035675695285,44.76232151014494,1,False,False
830122fffffffff,56.67588000443229,46.37712265976796,1,False,False
830124fffffffff,55.41418293838977,44.748753881389376,1,False,False
830125fffffffff,55.91565115892354,43.19894857298824,1,False,False
830126fffffffff,55.7783125496586,46.31233130068724,1,False,False
830130fffffffff,56.456579993580334,49.58367309643205,1,False,False
830134fffffffff,55.56124886658112,49.41822007515064,1,False,False
830135fffffffff,56.12628635699341,47.92410618620645,1,False,False
830136fffffffff,55.86738341024624,51.06842062201184,1,False,False
830148fffffffff,55.2154926135479,42.735038857424016,1,False,False
83014dfffffffff,54.63860744747237,41.38289960159363,1,False,False
830150fffffffff,62.51092888783102,38.90256517979909,1,False,False
830151fffffffff,62.9627777070727,36.78292994454862,1,False,False
830152fffffffff,63.01806189578898,40.814708715749525,1,False,False
830153fffffffff,63.50184349621051,38.67488305593678,1,False,False
830154fffffffff,61.533766804643896,39.112660852137466,1,False,False
83015afffffffff,64.95607481958169,36.11167316388297,1,False,False
83015efffffffff,63.95309967318109,36.46150875344696,1,False,False
830169fffffffff,52.94834728190656,40.59665883767203,1,False,False
83016bfffffffff,53.683783511654624,41.746709672765576,1,False,False
830182fffffffff,60.765120831614446,62.32789256339586,1,False,False
830183fffffffff,61.54091861925507,60.80533310558361,1,False,False
830186fffffffff,59.82579062781489,61.66613316825162,1,False,False
830194fffffffff,59.185308373189145,65.12651691986247,1,False,False
830196fffffffff,59.28150368933521,67.20618733811172,1,False,False
83019dfffffffff,62.50774236120204,61.47902229368524,1,False,False
8301a1fffffffff,59.18115097866129,55.59713660348479,1,False,False
