name,lat,lon,state,in_margin,in_basin
83004dfffffffff,62.51540766619137,-5.605860638711014,1,False,False
830069fffffffff,61.303389778155214,-2.890902028270938,1,False,False
830092fffffffff,79.09760884207965,-15.946012722000823,1,False,False
830093fffffffff,78.27236531049347,-19.82556131135297,1,False,False
830096fffffffff,78.74376099133275,-10.555100789789838,1,False,False
8300a4fffffffff,72.76782934926624,-4.441349428173409,1,False,False
8300a6fffffffff,73.86290950719287,-4.605940385718622,1,False,False
830104fffffffff,64.06121197132285,6.264694875359347,1,False,False
830106fffffffff,65.03752057228095,6.62163567182537,1,False,False
830120fffffffff,62.59809290283954,7.592084518380339,1,False,False
830121fffffffff,62.1411467353454,5.631558670596754,1,False,False
830122fffffffff,63.54825363691016,7.978060625373241,1,False,False
830123fffffffff,63.09560087054045,5.935716765446177,1,False,False
830124fffffffff,62.090662618807656,9.165930748710744,1,False,False
830125fffffffff,61.65872490316944,7.234400192917465,1,False,False
830126fffffffff,63.02480772882835,9.602142338644546,1,False,False
830130fffffffff,64.92223401368537,10.582887729610968,1,False,False
830131fffffffff,64.50872910716862,8.3957838344029,1,False,False
830132fffffffff,65.88432255642527,11.136604959422716,1,False,False
830133fffffffff,65.47898149650065,8.849288564965383,1,False,False
830134fffffffff,64.35618457700329,12.216933113844249,1,False,False
830135fffffffff,63.96885185127063,10.073048443071151,1,False,False
830136fffffffff,65.30046857558865,12.821631366391124,1,False,False
830148fffffffff,61.259803402730384,8.711527683426308,1,False,False
830149fffffffff,60.68539613314362,6.872816715040525,1,False,False
83014bfffffffff,61.66169380792967,6.791585252667202,1,False,False
83014dfffffffff,60.29212685850933,8.720222927393847,1,False,False
830151fffffffff,62.36366588870119,-9.271312363780044,1,False,False
83015afffffffff,62.903357337198166,-13.495431877775324,1,False,False
83015efffffffff,62.6475829208904,-11.3499153491553,1,False,False
830169fffffffff,58.88343043573257,10.781467291798446,1,False,False
83016bfffffffff,59.87949294266031,10.49895419183586,1,False,False
830180fffffffff,71.70097484538731,7.190888901603429,1,False,False
830181fffffffff,71.2298010585315,4.180071142523255,1,False,False
830183fffffffff,72.29120926867974,4.568743465220283,1,False,False
830184fffffffff,71.08670694524207,9.614731599875608,1,False,False
830185fffffffff,70.65580254770354,6.669350431390989,1,False,False
83018afffffffff,72.29117322615889,-1.3677783416172686,1,False,False
83018cfffffffff,70.709060709972,1.299052627033889,1,False,False
83018efffffffff,71.77663835325073,1.5039622288546803,1,False,False
830199fffffffff,73.37820024349861,-1.3203234009140723,1,False,False
83019dfffffffff,72.85220523309258,1.7353344409349185,1,False,False
8301a0fffffffff,69.44455589020372,11.130083720222537,1,False,False
8301a2fffffffff,70.45305294480394,11.854199575660196,1,False,False
8301a3fffffffff,70.05931855793304,8.98224568583472,1,False,False
8301a4fffffffff,68.8152673275788,13.124497383087348,1,False,False
8301a6fffffffff,69.80412561736249,13.923449396364084,1,False,False
8301b1fffffffff,71.46640857312478,12.660485484573025,1,False,False
8301b5fffffffff,70.79710834104978,14.808484518678712,1,False,False
830208fffffffff,58.71942526842781,-27.998345071412203,1,False,False
830209fffffffff,58.05214471524093,-26.37948010836146,1,False,False
83020afffffffff,58.28256841151608,-29.97154661173865,1,False,False
83020bfffffffff,57.63867921873355,-28.348968622884897,1,False,False
83020dfffffffff,59.1262774526731,-25.97207365017883,1,False,False
830218fffffffff,58.40998732768923,-33.54624194324818,1,False,False
830219fffffffff,57.8175483270813,-31.889244424539577,1,False,False
83021afffffffff,57.89651390138609,-35.39817229551265,1,False,False
83021bfffffffff,57.32627571059608,-33.74963572663074,1,False,False
83021dfffffffff,58.89793462286562,-31.633005335095465,1,False,False
83021efffffffff,58.97320104091934,-35.23666736739738,1,False,False
830228fffffffff,61.23896425818828,-25.089241795405908,1,False,False
830229fffffffff,60.55516524055575,-23.40471001052624,1,False,False
83022bfffffffff,60.18878726809339,-25.54259148483997,1,False,False
83022cfffffffff,62.27613170684394,-24.61003995126957,1,False,False
83022dfffffffff,61.52454296161753,-22.36319266647797,1,False,False
830241fffffffff,55.41263073261171,-18.389366554196663,1,False,False
830243fffffffff,55.1198539753747,-20.343171445336207,1,False,False
830244fffffffff,55.82389697065275,-16.020275580120952,1,False,False
830246fffffffff,55.8066317363383,-18.051550435744247,1,False,False
830248fffffffff,53.51199634768615,-17.589904061723853,1,False,False
830249fffffffff,52.67706069715411,-16.278297688011246,1,False,False
83024afffffffff,53.23034933550896,-19.4751412107232,1,False,False
83024bfffffffff,52.41526774874487,-18.14191078153558,1,False,False
83024cfffffffff,54.59846919097089,-17.012739179141704,1,False,False
83024dfffffffff,53.76350672906512,-15.681584517123618,1,False,False
83024efffffffff,54.32670044339842,-18.944670245340227,1,False,False
830250fffffffff,56.26887781944592,-25.224797123951056,1,False,False
830251fffffffff,55.54494362218431,-23.72464348875557,1,False,False
830252fffffffff,55.87201630481099,-27.1343994613254,1,False,False
830253fffffffff,55.170272173810375,-25.62525672364119,1,False,False
830254fffffffff,57.35746893041176,-24.80411290267248,1,False,False
830255fffffffff,55.75596551913076,-20.07847995170854,1,False,False
830256fffffffff,56.96713228666617,-26.76643207344353,1,False,False
