name,lat,lon,state,in_margin,in_basin
83004dfffffffff,24.259604263345363,12.533238019288888,1,False,False
830069fffffffff,22.578841507972,13.107190762896222,1,False,False
83006dfffffffff,21.88326084373864,13.943316413128176,1,False,False
830120fffffffff,19.80425914428916,18.798877008399018,1,False,False
830124fffffffff,19.00793683064873,19.21889235710873,1,False,False
830125fffffffff,19.068433844288453,18.154771171457547,1,False,False
830126fffffffff,19.737770742756968,19.872657435413192,1,False,False
83012cfffffffff,19.9186458710172,16.63397536963722,1,False,False
830134fffffffff,20.394914266714046,21.616474923993003,1,False,False
830135fffffffff,20.47404060067626,20.54047539534417,1,False,False
830151fffffffff,24.86144264883037,12.107380639753329,1,False,False
83015afffffffff,26.58866867150169,10.95553325636244,1,False,False
830208fffffffff,27.93759350439841,0.3288495928023179,1,False,False
830209fffffffff,26.868778223139625,0.4993806876563435,1,False,False
83020afffffffff,28.35726190203988,-0.8484072324547345,1,False,False
83020bfffffffff,27.29364447611981,-0.6726756558388131,1,False,False
83020cfffffffff,28.56840270902207,1.3329615177340546,1,False,False
83020dfffffffff,27.506988862753047,1.499573366524333,1,False,False
83020efffffffff,28.993953181628505,0.1569236244346159,1,False,False
830213fffffffff,31.868012979704908,-2.6107339681890074,1,False,False
830218fffffffff,29.810364841400773,-2.2135211507220025,1,False,False
830219fffffffff,28.7655034103487,-2.0312503952273544,1,False,False
83021afffffffff,30.20032443604446,-3.4059769112140312,1,False,False
83021bfffffffff,29.161868022980155,-3.2187051597314618,1,False,False
83021dfffffffff,29.408097863870022,-1.0255578254600963,1,False,False
83021efffffffff,30.84166821293423,-2.3972452582899813,1,False,False
830241fffffffff,22.03065505769796,2.3123978380848524,1,False,False
830243fffffffff,22.480934045370187,1.167832847042594,1,False,False
830244fffffffff,21.5662926071637,3.734340162707075,1,False,False
830246fffffffff,22.229697836670745,2.733311083377591,1,False,False
830248fffffffff,20.229101536084865,1.494045565062439,1,False,False
830249fffffffff,19.0914109526121,1.655195180024989,1,False,False
83024afffffffff,20.67714143529697,0.3526744754497574,1,False,False
83024bfffffffff,19.541804673026284,0.5188505266837371,1,False,False
83024cfffffffff,20.90625569284268,2.4710121913342773,1,False,False
83024dfffffffff,19.77391539527753,2.628341184237278,1,False,False
83024efffffffff,21.359216401286,1.331595838559007,1,False,False
830250fffffffff,25.130280822338165,-0.3254148056574789,1,False,False
830251fffffffff,24.03175976770612,-0.1538584454859273,1,False,False
830252fffffffff,25.554526536840463,-1.4930234189496088,1,False,False
830253fffffffff,24.46062694411375,-1.3164317444103262,1,False,False
830254fffffffff,25.788071339162588,0.6685308309538701,1,False,False
830255fffffffff,22.88666093273356,1.72321030002935,1,False,False
830256fffffffff,26.21778767549453,-0.4983493804834462,1,False,False
830258fffffffff,22.241360000678007,-0.9673954236364972,1,False,False
830259fffffffff,21.117447307417088,-0.7949248172623129,1,False,False
83025afffffffff,22.669414038365023,-2.1252193999140663,1,False,False
83025bfffffffff,21.54945685799723,-1.947875815415261,1,False,False
83025cfffffffff,22.92290577590565,0.016333070666157,1,False,False
83025dfffffffff,21.804443984702505,0.18517299788211,1,False,False
83025efffffffff,23.35600285904718,-1.1412267563919063,1,False,False
830260fffffffff,20.374020411115623,3.705381746975265,1,False,False
830264fffffffff,20.782657941807063,4.786245797706129,1,False,False
830265fffffffff,19.68404661323091,4.662423518252214,1,False,False
830271fffffffff,22.42707096194433,3.2965874456145423,1,False,False
830272fffffffff,26.43346526483336,1.6648176324676058,1,False,False
830275fffffffff,22.85298094162728,4.393402012360271,1,False,False
830281fffffffff,32.30225094318517,-7.245992602297337,1,False,False
830283fffffffff,32.63692086338694,-8.481594458724363,1,False,False
830288fffffffff,30.62110532953772,-7.99442935911885,1,False,False
830289fffffffff,29.59784772406498,-7.790111695235576,1,False,False
83028afffffffff,30.95290543228661,-9.189676178127783,1,False,False
83028bfffffffff,29.93769012474412,-8.981153834419198,1,False,False
83028cfffffffff,31.292740279757712,-7.000089128823123,1,False,False
83028dfffffffff,30.27585862717195,-6.79866969464176,1,False,False
83028efffffffff,31.63008845021784,-8.200235961581296,1,False,False
830298fffffffff,32.2633652834832,-10.597389669055234,1,False,False
