name,lat,lon,state,in_margin,in_basin
830069fffffffff,64.78273427792614,13.296017233563942,1,False,False
83006dfffffffff,63.80104462466461,14.091861641216765,1,False,False
830120fffffffff,61.13418807200777,24.514258367338112,1,False,False
830122fffffffff,61.50253958607183,26.375249090670778,1,False,False
830124fffffffff,60.244819575231446,24.49523898824344,1,False,False
830125fffffffff,60.74590366017564,22.71983429710628,1,False,False
830126fffffffff,60.60523584313906,26.28830303394025,1,False,False
830134fffffffff,60.36863322520352,29.838978054654525,1,False,False
830135fffffffff,60.94505464391558,28.14297323537097,1,False,False
830136fffffffff,60.65775257595316,31.738594105958207,1,False,False
830169fffffffff,57.91007295604025,17.92399335394498,1,False,False
83016bfffffffff,58.667736999739496,19.184295785355,1,False,False
830180fffffffff,65.1945664035047,42.67364517413994,1,False,False
830182fffffffff,65.3120638725088,45.20631261711446,1,False,False
830183fffffffff,66.13150482284625,43.53887233109591,1,False,False
830186fffffffff,64.39442485941703,44.30149258530572,1,False,False
830209fffffffff,72.60334793986806,-12.238386616808206,1,False,False
83020afffffffff,74.32374731830625,-15.14383747958574,1,False,False
83020bfffffffff,73.25085871752627,-15.38001897764125,1,False,False
830219fffffffff,74.91551077642708,-18.713488300564048,1,False,False
83021bfffffffff,75.44517692778523,-22.53727671502018,1,False,False
830241fffffffff,67.50734383966547,-11.058458353317782,1,False,False
830243fffffffff,68.19400114474806,-13.509073850846978,1,False,False
830244fffffffff,66.94392445082615,-7.537236449863181,1,False,False
830246fffffffff,67.78904865563022,-9.531123253301548,1,False,False
830248fffffffff,65.92940587889994,-13.987203905552894,1,False,False
830249fffffffff,64.78500240412457,-14.197833672201735,1,False,False
83024afffffffff,66.57700664117955,-16.375878914893054,1,False,False
83024bfffffffff,65.43201210718044,-16.494510647015716,1,False,False
83024cfffffffff,66.38135941601807,-11.403231850470751,1,False,False
83024dfffffffff,65.24686566409027,-11.720426676416816,1,False,False
83024efffffffff,67.0660253849699,-13.758431083146526,1,False,False
830250fffffffff,71.06860498317268,-15.779909168371285,1,False,False
830251fffffffff,69.96052356654997,-15.950662029388806,1,False,False
830252fffffffff,71.6691402665164,-18.803855913228457,1,False,False
830253fffffffff,70.56362407779513,-18.8279344684054,1,False,False
830254fffffffff,71.51792932687734,-12.60552518489482,1,False,False
830255fffffffff,68.6077677827165,-11.671171593087958,1,False,False
830256fffffffff,72.16560399153461,-15.590742624097713,1,False,False
830258fffffffff,68.32139299419684,-18.86950536420123,1,False,False
830259fffffffff,67.18613154614651,-18.8875720227765,1,False,False
83025afffffffff,68.88452325945197,-21.62611229375571,1,False,False
83025bfffffffff,67.75323666283249,-21.52163383324693,1,False,False
83025cfffffffff,68.84206203851056,-16.105562399987235,1,False,False
83025dfffffffff,67.71396268591019,-16.246717959413413,1,False,False
83025efffffffff,69.44747327365177,-18.84971275512272,1,False,False
830260fffffffff,65.78641503273657,-8.253526472303992,1,False,False
830261fffffffff,64.72721637240711,-9.067928489102002,1,False,False
830264fffffffff,65.95085214240262,-5.614499993267879,1,False,False
830265fffffffff,64.91261037245015,-6.522611946142684,1,False,False
830271fffffffff,67.87321499507709,-8.071443005536267,1,False,False
830272fffffffff,71.90879035670527,-9.317387030662688,1,False,False
830275fffffffff,68.04622767084251,-5.18107980062225,1,False,False
8302c0fffffffff,72.44051420070866,-31.89146325809813,1,False,False
8302c1fffffffff,71.36269847008954,-31.23990548900308,1,False,False
8302c2fffffffff,72.75634372945318,-35.4889930426005,1,False,False
8302c3fffffffff,71.69671491925996,-34.64359533776444,1,False,False
8302c4fffffffff,73.13936406859368,-28.927729973356787,1,False,False
8302c5fffffffff,72.0598114157624,-28.410346019544303,1,False,False
8302c6fffffffff,73.50418898828993,-32.616771070530085,1,False,False
8302c8fffffffff,69.53434451595353,-33.18767289500249,1,False,False
8302c9fffffffff,68.4336993750313,-32.55675172331689,1,False,False
8302cafffffffff,69.84319591248862,-36.33948258999585,1,False,False
8302cbfffffffff,68.7595522903585,-35.560174510858545,1,False,False
8302ccfffffffff,70.2716706942404,-30.65153910902795,1,False,False
8302cdfffffffff,69.16834952600338,-30.11770426955444,1,False,False
8302cefffffffff,70.62236122765539,-33.88020347175368,1,False,False
8302d0fffffffff,74.0245776496485,-40.338333805596136,1,False,False
8302d1fffffffff,73.00471387770328,-39.17926934324544,1,False,False
8302d4fffffffff,74.82692298877875,-37.48294999699009,1,False,False
8302d5fffffffff,73.80013971836317,-36.42992525516601,1,False,False
8302d8fffffffff,71.1409568615496,-40.57528010309394,1,False,False
8302d9fffffffff,70.09305739073606,-39.55671079589516,1,False,False
8302dbfffffffff,70.28269183583137,-42.82061461907499,1,False,False
8302dcfffffffff,71.96698947434336,-38.136739858954094,1,False,False
8302ddfffffffff,70.91273575488889,-37.1946087196627,1,False,False
8302defffffffff,72.17171534360492,-41.69609346594307,1,False,False
8302e0fffffffff,73.30596748403791,-22.163887790084736,1,False,False
