name,lat,lon,plt_id,max_age,pygp_pts,pygp_feature
83002efffffffff,78.93037919687286,27.02051280487098,311,400.0,"(0.171043, 0.0872282, 0.981395)",<pygplates.pygplates.Feature object at 0x7f0ef561f4a0>
830030fffffffff,76.50272674900336,41.7072308695824,350,550.0,"(0.174245, 0.155286, 0.972381)",<pygplates.pygplates.Feature object at 0x7f0ef561f510>
830031fffffffff,77.40990455122223,39.04680379264653,350,550.0,"(0.169286, 0.137314, 0.975954)",<pygplates.pygplates.Feature object at 0x7f0ef561f580>
830032fffffffff,76.43855638809441,46.23472619376444,350,550.0,"(0.162197, 0.169342, 0.972119)",<pygplates.pygplates.Feature object at 0x7f0ef561f5f0>
830033fffffffff,77.39513129335435,43.90873230099002,350,550.0,"(0.15722, 0.151342, 0.975898)",<pygplates.pygplates.Feature object at 0x7f0ef561f660>
830034fffffffff,75.60637989008187,39.801893487292205,350,550.0,"(0.190976, 0.159126, 0.968611)",<pygplates.pygplates.Feature object at 0x7f0ef561f6d0>
830035fffffffff,76.48579330410658,37.20863810635035,311,400.0,"(0.186117, 0.141315, 0.972312)",<pygplates.pygplates.Feature object at 0x7f0ef561f740>
830036fffffffff,75.57511025949971,44.02480041754977,350,550.0,"(0.17912, 0.173124, 0.968475)",<pygplates.pygplates.Feature object at 0x7f0ef561f7b0>
83004cfffffffff,83.63584331133676,-27.262122994917785,102,40.0,"(0.0985343, -0.0507749, 0.993837)",<pygplates.pygplates.Feature object at 0x7f0ef561f820>
83004dfffffffff,83.35054199240336,-36.57356627586494,102,inf,"(0.0929938, -0.0689967, 0.993273)",<pygplates.pygplates.Feature object at 0x7f0ef561f890>
830061fffffffff,81.08928769398936,-13.109461857747538,102,inf,"(0.150858, -0.0351321, 0.987931)",<pygplates.pygplates.Feature object at 0x7f0ef561f900>
830065fffffffff,80.18374538800961,-10.13702443903292,102,220.0,"(0.167828, -0.0300066, 0.98536)",<pygplates.pygplates.Feature object at 0x7f0ef561f970>
830068fffffffff,81.90536935625103,-24.497700364642416,102,inf,"(0.128133, -0.0583872, 0.990037)",<pygplates.pygplates.Feature object at 0x7f0ef561f9e0>
830069fffffffff,81.69504445620925,-31.922674654659893,102,inf,"(0.122597, -0.0763771, 0.989513)",<pygplates.pygplates.Feature object at 0x7f0ef561fa50>
83006afffffffff,82.83095613906278,-21.39277727626919,102,40.0,"(0.116199, -0.0455209, 0.992182)",<pygplates.pygplates.Feature object at 0x7f0ef561fac0>
83006bfffffffff,82.66445379002901,-29.91544205587694,102,inf,"(0.110668, -0.0636767, 0.991815)",<pygplates.pygplates.Feature object at 0x7f0ef561fb30>
83006cfffffffff,81.09602300283093,-20.077108774611684,102,inf,"(0.145373, -0.0531332, 0.987949)",<pygplates.pygplates.Feature object at 0x7f0ef561fba0>
83006dfffffffff,80.97473572444456,-26.932046420673522,102,inf,"(0.139857, -0.0710517, 0.987619)",<pygplates.pygplates.Feature object at 0x7f0ef561fc10>
83006efffffffff,81.97587321814504,-16.78246225976935,102,inf,"(0.133645, -0.0403051, 0.990209)",<pygplates.pygplates.Feature object at 0x7f0ef561fc80>
830070fffffffff,81.9059462462142,11.360572979537436,340,50.0,"(0.13804, 0.0277349, 0.990038)",<pygplates.pygplates.Feature object at 0x7f0ef561fcf0>
830074fffffffff,80.86817099000231,11.839774768510557,309,55.0,"(0.15533, 0.0325627, 0.987326)",<pygplates.pygplates.Feature object at 0x7f0ef561fd60>
830076fffffffff,81.33664122166626,17.824387514259335,311,55.0,"(0.143398, 0.0461075, 0.98859)",<pygplates.pygplates.Feature object at 0x7f0ef561fdd0>
830080fffffffff,77.15302871656911,74.88027194533086,417,420.0,"(0.0579965, 0.214651, 0.974967)",<pygplates.pygplates.Feature object at 0x7f0ef561fe40>
830081fffffffff,78.28009279130782,74.98464658039892,417,420.0,"(0.0526258, 0.196192, 0.979152)",<pygplates.pygplates.Feature object at 0x7f0ef561feb0>
830082fffffffff,76.50576862174336,78.93290319870084,417,420.0,"(0.044793, 0.229008, 0.972393)",<pygplates.pygplates.Feature object at 0x7f0ef561ff20>
830083fffffffff,77.62948240966061,79.40699702203099,417,420.0,"(0.0393827, 0.210582, 0.976783)",<pygplates.pygplates.Feature object at 0x7f0ef561ff90>
830084fffffffff,76.61107923311975,70.7387457598936,417,420.0,"(0.076386, 0.218598, 0.972821)",<pygplates.pygplates.Feature object at 0x7f0ef561e040>
830085fffffffff,77.72892050292592,70.45450311780777,417,420.0,"(0.0711054, 0.20029, 0.977153)",<pygplates.pygplates.Feature object at 0x7f0ef561e0b0>
