name,lat,lon,state,in_margin,in_basin
830029fffffffff,71.55879924052836,37.742256635908646,1,False,False
83002dfffffffff,70.53513913744608,37.73743279227114,1,False,False
83004dfffffffff,67.62809695470072,36.27844911594388,1,False,False
830068fffffffff,65.5452218807805,37.149015676968354,1,False,False
830069fffffffff,65.97446243126916,34.73790824766816,1,False,False
83006bfffffffff,66.58214969464403,36.73413847411119,1,False,False
83006cfffffffff,64.51803072505245,37.52829028474029,1,False,False
83006dfffffffff,64.95387711742582,35.22715588905224,1,False,False
8300a4fffffffff,68.76701461962115,64.81215118622207,1,False,False
830120fffffffff,62.04640455834472,43.29111796679605,1,False,False
830122fffffffff,62.32117792323681,45.276060480630846,1,False,False
830124fffffffff,61.16243268149688,43.08445557621579,1,False,False
830126fffffffff,61.43286430069907,44.99279954406901,1,False,False
830134fffffffff,61.02083545110985,48.55851096511998,1,False,False
830135fffffffff,61.67893748116417,46.9565949022849,1,False,False
830148fffffffff,61.02103339852479,40.4610205768331,1,False,False
830150fffffffff,68.52870495092786,37.72926290422755,1,False,False
830151fffffffff,69.07455788557482,35.1809725506927,1,False,False
830153fffffffff,69.52499117979812,37.73312805324324,1,False,False
830154fffffffff,67.54658699854151,37.72577328140471,1,False,False
83015afffffffff,71.0870807951776,34.89145206512205,1,False,False
83015efffffffff,70.07409927424716,35.04420134656826,1,False,False
830169fffffffff,58.87458657804254,37.56207060596845,1,False,False
83016bfffffffff,59.54871370831426,39.02204053660737,1,False,False
830180fffffffff,65.16633196732849,62.63645080487551,1,False,False
830183fffffffff,66.05222304067706,63.77281822964689,1,False,False
830186fffffffff,64.28928944809563,64.02534702476696,1,False,False
83019dfffffffff,66.94192204203864,65.00921411004069,1,False,False
830201fffffffff,77.53369281687132,16.605836541277327,1,False,False
830203fffffffff,78.33325075733276,12.936333339058711,1,False,False
830208fffffffff,76.26634390044664,10.757082731997214,1,False,False
830209fffffffff,75.20874166350558,9.878726011636994,1,False,False
83020afffffffff,76.99523671868431,7.079512540238039,1,False,False
83020bfffffffff,75.93180822952223,6.409544911991415,1,False,False
83020cfffffffff,76.51938304249863,15.249073573974984,1,False,False
83020dfffffffff,75.48665337913091,14.06655467850772,1,False,False
83020efffffffff,77.30828247504748,11.766057248365907,1,False,False
830218fffffffff,78.71693797792321,3.480192629290575,1,False,False
830219fffffffff,77.66453620180556,3.0045610336121,1,False,False
83021afffffffff,79.31554308565005,-1.3904626462359295,1,False,False
83021bfffffffff,78.26458820868145,-1.4875776704451198,1,False,False
83021cfffffffff,79.07752087444308,8.767547818051098,1,False,False
83021dfffffffff,78.04413162971674,7.856370234128628,1,False,False
83021efffffffff,79.75504342569967,4.044230640222366,1,False,False
830228fffffffff,75.8062495456058,22.682681815200272,1,False,False
830229fffffffff,74.81610423700654,21.11238403860391,1,False,False
83022afffffffff,76.68862092271523,19.8354836998021,1,False,False
83022bfffffffff,75.68615605230589,18.34977248086829,1,False,False
83022cfffffffff,75.84738408983853,27.016294870532835,1,False,False
83022dfffffffff,74.63431717428057,25.20305461196985,1,False,False
83022efffffffff,76.77337848809383,24.45942798428313,1,False,False
830241fffffffff,70.09711876017685,9.893610616710832,1,False,False
830243fffffffff,70.84383374072841,7.272677198109172,1,False,False
830244fffffffff,69.2959270591876,13.319777098677434,1,False,False
830246fffffffff,70.23388342080004,11.438794484300974,1,False,False
830248fffffffff,68.59479016666732,6.337153966857698,1,False,False
830249fffffffff,67.45704287964351,5.932611270269347,1,False,False
83024afffffffff,69.29469721019039,3.763624726997916,1,False,False
83024bfffffffff,68.15376095764545,3.466662470758086,1,False,False
83024cfffffffff,68.98254089019125,9.294833016385487,1,False,False
83024dfffffffff,67.85832383129053,8.750249977827924,1,False,False
83024efffffffff,69.72404589374842,6.781774710201929,1,False,False
830250fffffffff,73.76490136250283,5.313209426212989,1,False,False
830251fffffffff,72.66312565282539,4.859163016333057,1,False,False
830252fffffffff,74.42808997354236,1.940169952440675,1,False,False
830253fffffffff,73.32508863927093,1.6701926752423146,1,False,False
830254fffffffff,74.13664000144271,9.107508696300236,1,False,False
830255fffffffff,71.14996576804334,9.381286600919625,1,False,False
830256fffffffff,74.85474350229295,5.825977254912488,1,False,False
830258fffffffff,71.08707905242991,1.2167742839849565,1,False,False
830259fffffffff,69.95360632553472,1.0245677402712243,1,False,False
83025afffffffff,71.6988190879491,-1.845013969950613,1,False,False
83025bfffffffff,70.56694039618982,-1.8827618161825124,1,False,False
83025cfffffffff,71.55026060504723,4.454345713133217,1,False,False
83025dfffffffff,70.42716077327286,4.091197484585001,1,False,False
83025efffffffff,72.21116806166528,1.4306860779238353,1,False,False
830260fffffffff,68.18371978725634,12.132415437331392,1,False,False
830261fffffffff,67.17237318940776,10.910651362342897,1,False,False
830264fffffffff,68.21230937435882,15.06999434378934,1,False,False
830265fffffffff,67.22885559102227,13.742251829373508,1,False,False
830270fffffffff,73.09745099001945,16.487636677524623,1,False,False
830271fffffffff,70.24417651841809,13.086530035656704,1,False,False
830272fffffffff,74.43710161600754,13.027578073495222,1,False,False
830274fffffffff,73.24104047616056,20.22094315913372,1,False,False
830275fffffffff,70.26607857592407,16.337110713760218,1,False,False
830276fffffffff,74.66399171609801,17.041548571838767,1,False,False
830289fffffffff,78.78602422979031,-21.56204101135413,1,False,False
83028cfffffffff,80.54728909006415,-18.85285075531012,1,False,False
83028dfffffffff,79.54773531021519,-17.377170500346026,1,False,False
8302a9fffffffff,79.82798521649896,-6.761709359488702,1,False,False
8302abfffffffff,80.24222647456888,-12.606158927391403,1,False,False
8302adfffffffff,80.35274759314255,-1.2741330298427034,1,False,False
8302c0fffffffff,75.37185220144877,-13.413433934383784,1,False,False
8302c1fffffffff,74.28987671815744,-12.729923257993958,1,False,False
8302c2fffffffff,75.70404536288919,-17.70216326112207,1,False,False
8302c3fffffffff,74.64187424003775,-16.735273247616536,1,False,False
8302c4fffffffff,76.0464860371332,-9.78447336061929,1,False,False
8302c5fffffffff,74.96240242499373,-9.309529776686716,1,False,False
8302c6fffffffff,76.43973732767878,-14.194150881400676,1,False,False
