name,lat,lon,state,in_margin,in_basin
830000fffffffff,76.03701974804612,17.612151466830543,1,False,False
830001fffffffff,76.602753610859,13.608486103986166,1,False,False
830002fffffffff,76.44704489035263,21.761946198480267,1,False,False
830003fffffffff,77.08208080412973,17.796187682607055,1,False,False
830004fffffffff,75.00532829768864,17.455187005579003,1,False,False
830005fffffffff,75.56597177816482,13.751545668319409,1,False,False
830006fffffffff,75.41262244520655,21.285392073707623,1,False,False
830010fffffffff,76.03205986818575,29.63967666738632,1,False,False
830011fffffffff,76.78756377492932,26.18635056783742,1,False,False
830012fffffffff,76.23044199524858,34.108450537135866,1,False,False
830013fffffffff,77.05039065636223,30.855860501588968,1,False,False
830014fffffffff,75.02155468450802,28.59863385270061,1,False,False
830015fffffffff,75.75725591473486,25.35411727027365,1,False,False
830016fffffffff,75.2361755813339,32.7237767493991,1,False,False
830018fffffffff,78.55167870794254,22.994209478484947,1,False,False
83001afffffffff,78.87590622644132,28.348447389454765,1,False,False
83001cfffffffff,77.4936658147834,22.32331512423976,1,False,False
83001dfffffffff,78.14003101434919,18.014955224073567,1,False,False
83001efffffffff,77.82762050626208,27.169641553672648,1,False,False
830020fffffffff,73.53342057978351,13.980739622659964,1,False,False
830021fffffffff,74.0320626395607,10.54436243317492,1,False,False
830022fffffffff,73.98743051448614,17.319732069811636,1,False,False
830023fffffffff,74.54273072950065,13.874282741964103,1,False,False
830024fffffffff,72.53838253445286,14.07395341213397,1,False,False
830025fffffffff,73.03535849830469,10.860175418157434,1,False,False
830026fffffffff,72.9836979506893,17.20165010190553,1,False,False
830028fffffffff,75.47933873766355,6.250358307620536,1,False,False
830029fffffffff,75.84751074908277,2.0947218035082025,1,False,False
83002afffffffff,76.06543924751719,9.763148244925803,1,False,False
83002bfffffffff,76.49607280428518,5.498926509555503,1,False,False
83002cfffffffff,74.47377918168857,6.89734754988321,1,False,False
83002dfffffffff,74.8528523699348,3.0519124042904986,1,False,False
83002efffffffff,75.04225292950052,10.182324589119718,1,False,False
830030fffffffff,73.73037208390015,24.02304901469999,1,False,False
830031fffffffff,74.3910633226067,20.87583469939577,1,False,False
830032fffffffff,74.02043624363044,27.69800148007007,1,False,False
830033fffffffff,74.73787878792291,24.64089855782897,1,False,False
830034fffffffff,72.73549436393917,23.48275766508553,1,False,False
830035fffffffff,73.38292216968638,20.520108103747948,1,False,False
830036fffffffff,73.02993453914519,26.91153515005436,1,False,False
83004dfffffffff,77.21156399547536,-21.582383081478515,1,False,False
830068fffffffff,75.60458149653809,-15.742619028506864,1,False,False
830069fffffffff,75.48805476524866,-20.04078394819264,1,False,False
83006bfffffffff,76.42105907816355,-18.47869469594754,1,False,False
83006cfffffffff,74.76887957416193,-13.322995059645992,1,False,False
83006dfffffffff,74.70036376162722,-17.396127573967217,1,False,False
830080fffffffff,77.20179601376704,50.866603625391,1,False,False
830081fffffffff,78.22168256909158,48.60826569255339,1,False,False
830082fffffffff,77.00089467019849,55.83732131593529,1,False,False
830083fffffffff,78.0615055261188,54.04739022666032,1,False,False
830084fffffffff,76.31863721448477,48.115457643826645,1,False,False
830085fffffffff,77.30672980863156,45.8058075604913,1,False,False
830086fffffffff,76.17120506275305,52.784529499821296,1,False,False
830088fffffffff,80.15302354364859,49.300401531501066,1,False,False
83008afffffffff,79.97334833963923,55.80825141562536,1,False,False
83008bfffffffff,81.04877649288565,53.40314313291914,1,False,False
83008cfffffffff,79.22516454142436,45.91936045562026,1,False,False
83008efffffffff,79.11400936613812,51.904322452422456,1,False,False
830091fffffffff,76.70707883232062,60.64853616656661,1,False,False
830092fffffffff,75.21790094600955,65.98371868790481,1,False,False
830094fffffffff,74.87051969414863,58.64863853081708,1,False,False
830095fffffffff,75.93619837887006,57.35198404999951,1,False,False
830099fffffffff,79.67032269450102,62.04653422967614,1,False,False
83009cfffffffff,77.7984443835012,59.327262371041165,1,False,False
83009dfffffffff,78.88834275662991,57.74201367959499,1,False,False
8300a0fffffffff,75.43857200655243,41.33114612156423,1,False,False
8300a1fffffffff,76.34681619064978,38.71513577723013,1,False,False
8300a2fffffffff,75.41943194933947,45.72284979603346,1,False,False
8300a3fffffffff,76.37701797994112,43.40461800527154,1,False,False
8300a4fffffffff,74.49605661320935,39.52705573312882,1,False,False
8300a5fffffffff,75.37655719001653,36.982047649317856,1,False,False
8300a6fffffffff,74.51001802737983,43.62989627406006,1,False,False
8300a8fffffffff,78.226191747681,37.6330102016135,1,False,False
8300a9fffffffff,79.1017986724228,34.01856066951075,1,False,False
8300aafffffffff,78.27641818000883,43.10333536337354,1,False,False
8300abfffffffff,79.22027483428253,39.91422264360265,1,False,False
8300acfffffffff,77.22817001728819,35.72482530545322,1,False,False
8300adfffffffff,78.07452824874584,32.29400863034582,1,False,False
8300aefffffffff,77.31495374864238,40.73235500170393,1,False,False
8300b0fffffffff,74.30898042272884,51.83542602751248,1,False,False
8300b1fffffffff,75.31788303242915,50.10602959667901,1,False,False
8300b2fffffffff,74.0944444378778,55.855379755973125,1,False,False
8300b3fffffffff,75.13427863724684,54.43014464232176,1,False,False
8300b4fffffffff,73.46663896505191,49.52484211527765,1,False,False
8300b5fffffffff,74.4478025329607,47.74675928563376,1,False,False
8300b6fffffffff,73.29553615250754,53.34927127280677,1,False,False
8300f4fffffffff,79.93040645621338,29.78614285187257,1,False,False
8300f6fffffffff,80.12855436206993,36.12022678600728,1,False,False
830100fffffffff,69.11617053776286,16.849862574092384,1,False,False
830101fffffffff,69.64162546756084,14.294958633991822,1,False,False
830102fffffffff,69.49275328307422,19.467706135568523,1,False,False
830103fffffffff,70.06047964928702,16.92361762855423,1,False,False
830104fffffffff,68.18719032791223,16.78327172203918,1,False,False
830105fffffffff,68.70618545363445,14.353948788508834,1,False,False
830106fffffffff,68.55729219502875,19.269762524271,1,False,False
830108fffffffff,71.08399297186007,11.38447543202977,1,False,False
830109fffffffff,71.53154966672312,8.390903936602344,1,False,False
83010afffffffff,71.55791112976772,14.156250128208775,1,False,False
83010bfffffffff,72.05255327682437,11.138069235555909,1,False,False
83010cfffffffff,70.12996457579717,11.604451018522438,1,False,False
83010dfffffffff,70.57745157976976,8.780061152403759,1,False,False
83010efffffffff,70.59225631221572,14.22944127555957,1,False,False
830110fffffffff,69.1911074312408,24.56399829332969,1,False,False
830111fffffffff,69.83226666057742,22.20491103575214,1,False,False
830112fffffffff,69.44820310989194,27.36140972309376,1,False,False
830113fffffffff,70.13103930914043,25.056499074700763,1,False,False
830114fffffffff,68.26514057135687,24.11930571078198,1,False,False
830115fffffffff,68.89304373490297,21.864697210580427,1,False,False
830116fffffffff,68.52374853720889,26.771904320637145,1,False,False
830118fffffffff,71.40867732868163,19.93270293343562,1,False,False
830119fffffffff,71.99445265435881,17.097801064354524,1,False,False
83011afffffffff,71.75386340514062,23.00636363827746,1,False,False
83011bfffffffff,72.38866384775108,20.20827652054203,1,False,False
83011cfffffffff,70.4432856313375,19.687421783997493,1,False,False
83011dfffffffff,71.01996972506997,17.005758469179394,1,False,False
83011efffffffff,70.78598382462393,22.583220257894787,1,False,False
830120fffffffff,66.88135509442613,14.455895278410296,1,False,False
830121fffffffff,67.3571741292208,12.142384525222084,1,False,False
